--- When using SR data,please cite us and provide a link and/or a mention.,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Player,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Better
Aaron Gordon\gordoaa01,PF,25,50,50,1384,8.2,17.7,2.1,6.2,6.1,11.4,3.4,5.3,2.7,7.3,5.7,1.2,1.2,3.4,3.2,21.9,,107,114,1
Aaron Holiday\holidaa01,PG,24,66,8,1176,6.8,17.5,2.7,7.3,4.1,10.2,2.7,3.3,0.6,3,4.9,1.8,0.5,2.7,3.8,19.1,,99,115,0
Aaron Nesmith\nesmiaa01,SF,21,46,1,669,5.7,13,2.9,7.9,2.8,5.1,1.6,2,2,7.2,1.7,1.1,0.7,1.7,6.4,15.9,,113,114,0
Abdel Nader\naderab01,SF,27,24,0,355,7.9,16.1,2.5,6,5.4,10.2,3.9,5.1,1,7.6,2.6,1.4,1.3,2.6,4.7,22.2,,111,111,0
Adam Mokoka\mokokad01,SG,22,14,0,56,6.1,16.4,0.9,8.7,5.2,7.8,0,0.9,0.9,3.5,4.3,1.7,0.9,4.3,4.3,13,,73,113,0
Al Horford\horfoal01,C,34,28,28,782,9.8,21.9,3.4,9.2,6.4,12.6,1.1,1.3,1.8,9.7,5.7,1.5,1.6,1.8,2.9,24.2,,111,112,1
Al-Farouq Aminu\aminual01,PF,30,23,14,434,4.3,11.1,0.9,4.1,3.4,6.9,2,2.5,2.5,9.9,3.5,2.1,1,3.1,3.2,11.4,,91,111,0
Alec Burks\burksal01,SG,29,49,5,1255,8.4,19.9,4.1,9.8,4.3,10.1,4,4.7,0.8,8.2,4.3,1.2,0.6,2,4.1,24.8,,114,109,0
Aleksej Pokusevski\pokusal01,PF,19,45,28,1090,6.1,17.8,2.5,9,3.5,8.8,1.4,1.8,1.3,7.9,4.2,0.9,1.8,4.3,2.5,16,,81,114,0
Alen Smailagić\smailal01,PF,20,15,1,84,6.2,15.1,2.2,5.6,3.9,9.5,1.1,3.4,3.4,5.6,2.2,1.7,2.8,2.8,6.2,15.7,,92,108,0
Alex Caruso\carusal01,PG,26,58,6,1216,5.3,12.2,2.2,5.5,3.1,6.7,2,3,1.2,5.6,6.4,2.6,0.6,3,4.3,14.8,,106,106,0
Alex Len\lenal01,C,27,64,42,979,8.1,13.1,0.4,1.2,7.7,12,3.5,5.5,3.7,8.6,2.3,0.9,3,2.6,6,20,,119,110,0
Alfonzo McKinnie\mckinal01,SF,28,39,0,258,9.1,17.5,3,7.4,6,10.2,1.9,3.4,4.1,6,1.1,1.3,0,0.9,4.9,23,,123,110,0
